source_event_id,n_traces,n_stations,n_s_picks,magnitude,depth_km,lat,lon,gap_deg,origin_time
21071523290,318,141,153,4.94,6.68,23.97,121.6,39.0,2021-07-15 23:29:26.699999
21040713190,254,106,215,4.94,17.38,23.85,121.46,35.0,2021-04-07 13:19:36.020000
20070903240,341,172,270,4.93,29.38,24.15,121.68,66.0,2020-07-09 03:24:23.309999
21083122270,260,112,231,4.93,13.74,23.27,120.71,23.0,2021-08-31 22:27:56.710000
21110918230,336,150,277,4.92,20.56,24.04,122.25,64.0,2021-11-09 18:24:15.339999
20022605340,394,213,317,4.91,26.53,23.88,121.62,95.0,2020-02-26 05:34:15.140000
20092303590,311,150,263,4.9,32.81,23.32,121.5,121.0,2020-09-23 04:00:02.009999
20053013020,354,188,289,4.89,17.53,24.1,121.55,53.0,2020-05-30 13:02:30.690000
20111801220,270,108,260,4.89,102.26,24.57,122.72,144.0,2020-11-18 01:22:56.100000
21062305400,315,142,221,4.88,23.63,24.07,121.5,28.0,2021-06-23 05:40:24.719999
20061623160,306,138,283,4.88,61.44,24.63,121.97,93.0,2020-06-16 23:17:00.060000
21042914321,163,67,54,4.88,29.54,21.87,121.66,257.0,2021-04-29 14:35:41.030000
20010606530,421,255,351,4.87,7.78,23.38,120.26,29.0,2020-01-06 06:53:55.450000
20101215380,381,212,276,4.87,10.92,24.51,121.9,79.0,2020-10-12 15:39:44.399999
20040823480,379,190,269,4.86,25.93,24.26,121.86,72.0,2020-04-08 23:49:19.559999
20111618370,286,123,98,4.86,37.84,21.6,121.03,251.0,2020-11-16 18:37:46.649999
21010213260,276,117,228,4.86,25.62,24.09,122.28,148.0,2021-01-02 13:26:47.289999
21113023170,248,105,197,4.86,22.91,22.92,121.61,64.0,2021-11-30 23:17:46.920000
21082310560,246,102,187,4.86,7.46,24.76,122.26,134.0,2021-08-23 10:56:38.460000
21091005450,255,109,208,4.85,45.38,23.86,122.06,43.0,2021-09-10 05:45:03.500000
21030901060,212,87,148,4.85,23.94,21.88,121.52,244.0,2021-03-09 01:07:09.140000
20021905270,342,176,256,4.84,9.42,23.87,121.55,95.0,2020-02-19 05:27:45.100000
20062707110,290,121,260,4.84,28.13,23.96,122.61,165.0,2020-06-27 07:11:28.660000
21071523040,314,141,145,4.82,7.36,23.98,121.59,54.0,2021-07-15 23:05:04.360000
20081101000,292,134,270,4.81,73.88,24.72,121.93,82.0,2020-08-11 01:01:05.940000
20022501000,317,132,299,4.81,76.66,24.54,122.15,107.0,2020-02-25 01:00:14.949999
20020711570,283,124,254,4.81,58.29,24.3,122.09,65.0,2020-02-07 11:57:39.189999
21042722100,258,112,202,4.81,1.56,23.15,120.92,41.0,2021-04-27 22:10:51.899999
20040800070,301,118,260,4.8,52.15,24.31,122.66,149.0,2020-04-08 00:07:40.240000
20021321380,292,124,213,4.79,26.34,22.4,121.38,106.0,2020-02-13 21:38:41.630000
20121013270,276,114,255,4.79,73.32,24.72,122.01,99.0,2020-12-10 13:27:31.170000
21082211510,252,108,215,4.79,13.92,23.16,120.58,39.0,2021-08-22 11:52:01.770000
21042914320,206,86,68,4.78,30.02,21.82,121.7,252.0,2021-04-29 14:32:58.289999
20062905080,353,171,285,4.77,41.98,23.87,121.62,97.0,2020-06-29 05:08:33.780000
21090210560,297,131,141,4.77,4.12,23.18,120.54,23.0,2021-09-02 10:56:58.859999
21022420080,243,102,227,4.77,59.48,24.69,121.98,96.0,2021-02-24 20:09:07.940000
21061609270,224,91,206,4.77,97.64,24.77,122.28,142.0,2021-06-16 09:27:42.200000
21071417000,243,105,186,4.76,7.72,23.93,121.59,39.0,2021-07-14 17:00:44.079999
20061200210,305,143,238,4.75,31.42,24.01,121.69,87.0,2020-06-12 00:21:35.340000
21070515120,260,112,206,4.75,21.98,23.88,121.45,25.0,2021-07-05 15:12:31.850000
21062809080,260,111,215,4.75,18.45,23.87,121.45,26.0,2021-06-28 09:08:18.239999
20070904120,297,136,252,4.74,28.74,24.15,121.67,69.0,2020-07-09 04:12:03.330000
21080611390,289,128,145,4.74,5.83,23.16,121.29,47.0,2021-08-06 11:39:13.380000
20110223140,267,114,217,4.73,25.22,24.1,122.27,142.0,2020-11-02 23:14:21.710000
20090208440,297,142,261,4.72,32.23,22.76,121.21,62.0,2020-09-02 08:44:39.710000
20102601070,274,129,255,4.72,63.65,24.58,121.84,50.0,2020-10-26 01:08:03.919999
20032004110,293,114,194,4.72,38.81,24.29,122.12,73.0,2020-03-20 04:11:17.910000
20092023540,260,110,215,4.72,9.44,22.43,121.58,146.0,2020-09-20 23:54:48.219999
20081903130,312,161,277,4.71,10.88,23.22,120.39,27.0,2020-08-19 03:13:31.859999
21041616210,270,114,252,4.71,29.78,23.98,122.06,118.0,2021-04-16 16:21:51.159999
20101715050,409,243,285,4.7,15.0,23.28,120.38,22.0,2020-10-17 15:05:59.630000
21031211540,274,116,230,4.7,45.84,21.98,120.49,194.0,2021-03-12 11:54:59.520000
21072922540,231,96,181,4.69,4.78,23.84,121.58,42.0,2021-07-29 22:55:17.289999
21070713370,280,119,219,4.68,9.1,23.89,121.57,35.0,2021-07-07 13:38:27.769999
21102806480,270,113,245,4.67,63.99,24.56,121.78,27.0,2021-10-28 06:49:05.860000
21122110590,239,105,202,4.67,10.09,23.12,120.52,48.0,2021-12-21 10:59:30.780000
20081105290,238,98,127,4.66,47.39,21.76,121.2,232.0,2020-08-11 05:29:56.369999
20052819340,461,281,405,4.65,14.0,23.65,120.76,21.0,2020-05-28 19:34:23.089999
21050721240,286,123,175,4.65,3.61,22.73,120.82,51.0,2021-05-07 21:24:15.550000
21070610260,280,120,210,4.65,10.12,23.88,121.52,26.0,2021-07-06 10:26:35.039999
21041607270,194,79,142,4.65,33.7,23.3,121.47,130.0,2021-04-16 07:28:15.029999
21071322511,145,65,91,4.65,8.28,23.94,121.59,123.0,2021-07-13 22:53:08.019999
21071323130,271,118,183,4.64,7.98,23.95,121.61,47.0,2021-07-13 23:14:30.030000
21081907500,277,117,185,4.64,6.38,23.94,121.63,45.0,2021-08-19 07:50:55.670000
21072611390,225,94,191,4.64,8.67,24.01,121.62,49.0,2021-07-26 11:40:11.169999
20070816540,306,138,260,4.63,23.21,23.25,121.27,38.0,2020-07-08 16:54:32.920000
20010819060,317,152,258,4.62,40.24,23.91,121.64,99.0,2020-01-08 19:06:42.369999
21102404380,282,120,217,4.62,25.82,24.05,121.65,38.0,2021-10-24 04:38:51.960000
21071403360,263,110,180,4.62,8.58,23.96,121.59,53.0,2021-07-14 03:36:33.100000
21080421530,158,66,63,4.62,13.81,24.78,122.24,159.0,2021-08-04 21:53:24.199999
21032521300,279,115,199,4.61,30.91,22.62,121.29,84.0,2021-03-25 21:30:23.399999
21112823110,265,114,193,4.61,32.24,24.19,121.67,30.0,2021-11-28 23:11:27.640000
21083009460,281,122,246,4.6,62.41,24.65,121.99,97.0,2021-08-30 09:47:25.940000
20051722530,319,143,250,4.59,31.26,24.03,121.69,80.0,2020-05-17 22:53:30.030000
21091510500,289,123,193,4.59,20.61,23.16,121.39,44.0,2021-09-15 10:50:53.539999
21110711230,289,123,250,4.59,46.6,24.32,121.68,25.0,2021-11-07 11:23:16.559999
21112521140,224,96,193,4.59,68.62,21.98,121.28,103.0,2021-11-25 21:15:08.089999
20100502040,315,144,236,4.58,6.57,23.2,120.82,17.0,2020-10-05 02:05:05.969999
20092507060,301,132,273,4.58,32.46,23.6,121.86,139.0,2020-09-25 07:06:21.609999
21041814111,13,8,10,4.58,13.47,23.89,121.44,76.0,2021-04-18 14:11:58.549999
21090404370,235,96,170,4.57,29.53,24.4,121.96,70.0,2021-09-04 04:37:08.710000
21041004470,284,118,129,4.56,22.9,22.68,121.32,67.0,2021-04-10 04:47:21.920000
20063012170,284,117,217,4.56,38.64,23.18,121.58,116.0,2020-06-30 12:17:12.390000
21040800280,227,91,194,4.56,67.96,24.69,122.03,98.0,2021-04-08 00:28:21.239999
20081900320,299,143,249,4.55,10.99,23.23,120.39,27.0,2020-08-19 00:33:01.770000
20042115010,307,129,260,4.55,38.55,24.08,121.75,82.0,2020-04-21 15:02:11.609999
21102310320,288,124,235,4.55,26.49,24.08,121.65,47.0,2021-10-23 10:32:38.420000
21080300050,210,85,184,4.55,106.91,24.86,121.9,72.0,2021-08-03 00:05:31.600000
21110805030,273,117,220,4.54,26.04,23.83,121.94,49.0,2021-11-08 05:03:08.859999
21040909100,243,100,199,4.54,104.68,24.83,122.08,152.0,2021-04-09 09:10:26.100000
21041418090,217,89,138,4.54,14.67,24.83,122.02,107.0,2021-04-14 18:09:36.979999
20021911540,378,177,316,4.53,17.35,23.99,121.0,18.0,2020-02-19 11:55:07.960000
20022412100,364,169,269,4.51,8.19,23.83,121.55,96.0,2020-02-24 12:10:33.359999
21121820020,247,110,192,4.51,22.25,22.96,121.36,51.0,2021-12-18 20:02:49.130000
20123117410,256,107,223,4.51,65.16,24.53,121.79,49.0,2020-12-31 17:42:02.980000
20050905450,290,125,234,4.5,42.44,23.85,121.69,106.0,2020-05-09 05:45:16.670000
21021404240,289,121,227,4.5,41.34,23.14,121.47,127.0,2021-02-14 04:25:04.540000
21061105140,227,94,173,4.5,9.9,23.89,121.52,89.0,2021-06-11 05:14:22.149999
20092819040,289,131,145,4.49,10.97,22.39,121.02,66.0,2020-09-28 19:05:08.099999
21021110390,282,120,234,4.49,42.56,23.37,121.34,56.0,2021-02-11 10:39:40.359999
20121418450,274,113,230,4.49,67.8,24.72,122.02,104.0,2020-12-14 18:45:33.200000
21052219570,257,109,223,4.49,22.68,23.88,121.46,26.0,2021-05-22 19:57:43.649999
20122900410,223,90,208,4.49,106.45,24.86,122.23,143.0,2020-12-29 00:41:37.299999
21102310020,276,117,245,4.47,37.25,23.75,121.98,51.0,2021-10-23 10:03:05.980000
20101914030,274,115,249,4.46,63.63,24.53,122.27,106.0,2020-10-19 14:03:58.789999
21120108560,233,97,160,4.46,19.33,22.92,121.62,67.0,2021-12-01 08:57:05.019999
21071811250,318,139,147,4.45,8.28,24.03,121.61,35.0,2021-07-18 11:25:42.810000
21060922420,227,92,172,4.45,11.97,23.91,121.54,36.0,2021-06-09 22:42:31.510000
21071523330,200,82,155,4.45,8.69,23.98,121.6,75.0,2021-07-15 23:33:29.489999
20101701160,273,120,241,4.44,39.29,24.02,121.68,85.0,2020-10-17 01:16:34.969999
21020722160,233,100,167,4.44,27.2,24.39,121.97,73.0,2021-02-07 22:16:55.829999
21042110550,197,80,153,4.44,10.31,24.78,122.27,115.0,2021-04-21 10:55:58.159999
21030901120,244,99,190,4.43,18.17,21.84,121.49,191.0,2021-03-09 01:13:32.200000
20061418090,332,150,244,4.42,40.34,24.4,121.64,43.0,2020-06-14 18:10:08.320000
20042711160,323,137,215,4.42,2.7,23.11,120.91,34.0,2020-04-27 11:16:48.689999
21081719220,264,113,211,4.42,34.44,23.72,121.09,21.0,2021-08-17 19:22:31.829999
21080921490,225,95,146,4.42,13.43,23.11,121.31,40.0,2021-08-09 21:50:01.720000
20013106090,219,93,118,4.42,12.45,24.84,122.06,115.0,2020-01-31 06:09:38.640000
21012303450,210,87,141,4.42,8.95,22.53,120.98,64.0,2021-01-23 03:45:32.090000
20122823400,275,112,223,4.41,62.2,24.54,121.96,74.0,2020-12-28 23:40:11.099999
21100307440,196,79,149,4.41,6.98,24.78,122.24,129.0,2021-10-03 07:44:40.130000
20112615540,313,140,298,4.4,78.15,24.69,121.92,85.0,2020-11-26 15:54:51.600000
20042711580,285,126,176,4.4,2.43,23.11,120.92,38.0,2020-04-27 11:58:53.950000
20061418151,110,45,0,4.4,5.42,24.9,123.24,120.0,2020-06-14 18:15:09.949999
21042007590,239,101,210,4.39,16.88,23.59,120.73,21.0,2021-04-20 07:59:40.990000
20123022300,191,79,133,4.39,9.4,22.44,121.04,80.0,2020-12-30 22:30:39.229999
20020215480,258,106,190,4.38,89.98,24.83,121.9,51.0,2020-02-02 15:48:10.429999
20060814340,233,99,164,4.38,29.54,22.53,121.11,79.0,2020-06-08 14:34:16.440000
21080513230,219,89,132,4.38,11.45,24.79,122.24,128.0,2021-08-05 13:23:19.769999
20083101210,276,112,237,4.37,35.54,23.76,121.61,102.0,2020-08-31 01:21:40.460000
21040716280,270,112,215,4.37,28.44,24.39,121.95,69.0,2021-04-07 16:28:45.289999
20092619050,258,109,162,4.37,19.41,22.39,121.39,106.0,2020-09-26 19:05:28.629999
21071523293,250,106,126,4.37,8.82,23.97,121.6,78.0,2021-07-15 23:31:46.289999
21080421540,150,65,80,4.37,10.77,24.77,122.28,155.0,2021-08-04 21:54:33.670000
20110712010,325,151,175,4.36,11.15,24.5,121.9,79.0,2020-11-07 12:01:31.679999
21050422420,250,107,182,4.36,33.16,22.9,121.37,110.0,2021-05-04 22:42:56.250000
20113001570,264,115,158,4.35,85.3,24.82,121.55,24.0,2020-11-30 01:57:12.130000
21031412240,266,113,197,4.35,40.68,22.12,120.36,187.0,2021-03-14 12:25:05.070000
20031501520,312,160,277,4.34,13.26,23.14,120.57,48.0,2020-03-15 01:52:59.710000
20062623340,329,145,228,4.34,4.94,23.05,120.84,30.0,2020-06-26 23:34:45.109999
21061108530,291,125,155,4.34,10.94,23.87,121.56,37.0,2021-06-11 08:53:47.509999
20052909290,286,119,230,4.34,3.92,23.23,120.81,26.0,2020-05-29 09:29:39.140000
21052221340,275,116,204,4.34,31.25,24.45,121.94,76.0,2021-05-22 21:34:42.840000
21010520090,265,114,229,4.34,13.62,23.79,121.45,39.0,2021-01-05 20:09:26.910000
21010520110,233,98,212,4.34,14.07,23.79,121.44,38.0,2021-01-05 20:11:23.100000
21103116230,233,97,200,4.34,67.25,24.58,121.79,32.0,2021-10-31 16:23:15.820000
20012810050,325,182,293,4.33,14.51,23.22,120.51,26.0,2020-01-28 10:05:53.759999
21070619210,240,101,162,4.33,6.86,23.9,121.57,35.0,2021-07-06 19:21:45.549999
21070711390,224,88,183,4.33,9.52,23.9,121.59,58.0,2021-07-07 11:39:12.949999
21071322512,170,76,85,4.33,7.79,23.93,121.62,87.0,2021-07-13 22:53:49.520000
21080720240,293,131,230,4.32,12.04,23.22,120.72,23.0,2021-08-07 20:24:31.839999
20101112390,272,117,230,4.32,40.26,23.92,121.67,92.0,2020-10-11 12:39:10.529999
21090716180,241,99,166,4.32,25.46,24.48,122.02,76.0,2021-09-07 16:19:11.009999
20081900410,289,135,235,4.31,10.64,23.23,120.39,27.0,2020-08-19 00:41:51.490000
21081915340,271,117,184,4.31,4.73,23.96,121.62,40.0,2021-08-19 15:34:33.369999
21050801040,267,115,172,4.31,4.06,22.74,120.82,49.0,2021-05-08 01:04:32.299999
21031620130,260,105,204,4.31,23.91,24.39,121.92,69.0,2021-03-16 20:13:13.669999
21020610270,274,116,168,4.3,15.05,22.55,120.97,56.0,2021-02-06 10:27:23.589999
21071412550,269,114,160,4.3,9.27,23.97,121.59,53.0,2021-07-14 12:55:33.159999
20092719220,261,109,162,4.3,16.53,22.39,121.35,101.0,2020-09-27 19:22:15.869999
21061302390,253,109,194,4.3,41.06,23.86,121.63,34.0,2021-06-13 02:39:11.070000
21030812240,258,106,176,4.3,13.85,24.77,122.27,125.0,2021-03-08 12:25:05.820000
20081908160,295,135,200,4.29,7.48,22.62,121.0,59.0,2020-08-19 08:17:18.960000
21080612280,287,123,198,4.29,6.11,23.16,121.29,36.0,2021-08-06 12:28:52.640000
21102418170,255,110,150,4.29,25.97,22.79,120.45,43.0,2021-10-24 18:17:22.390000
21102406040,239,101,225,4.28,63.39,24.57,121.79,30.0,2021-10-24 06:05:11.460000
21100620210,236,99,208,4.28,20.91,23.91,121.46,24.0,2021-10-06 20:21:43.490000
21081915120,288,125,165,4.27,7.6,23.95,121.63,46.0,2021-08-19 15:12:51.140000
21051905000,198,87,44,4.27,12.35,24.8,121.9,63.0,2021-05-19 05:00:28.350000
21080209130,198,83,134,4.27,21.29,22.67,121.44,48.0,2021-08-02 09:13:18.739999
21072611391,38,18,23,4.27,8.98,24.0,121.61,157.0,2021-07-26 11:39:59.369999
20101712070,287,150,238,4.26,13.6,23.28,120.38,22.0,2020-10-17 12:07:55.869999
21080611370,292,126,125,4.26,7.57,23.14,121.29,37.0,2021-08-06 11:37:30.609999
20021519160,249,112,211,4.26,9.09,23.84,121.52,75.0,2020-02-15 19:16:32.979999
21020815330,229,93,72,4.26,14.48,24.17,118.79,101.0,2021-02-08 15:34:00.910000
21090211090,293,129,191,4.25,4.34,23.17,120.53,23.0,2021-09-02 11:09:24.379999
20091905010,254,112,202,4.25,5.65,22.93,120.88,26.0,2020-09-19 05:01:55.299999
21080611391,222,98,129,4.25,6.7,23.16,121.29,54.0,2021-08-06 11:40:15.060000
20021905271,102,69,76,4.25,9.63,23.88,121.52,83.0,2020-02-19 05:28:11.900000
20090419520,297,129,237,4.23,6.72,23.2,120.82,17.0,2020-09-04 19:52:10.730000
21032417020,275,117,178,4.23,18.03,22.84,121.28,67.0,2021-03-24 17:02:51.299999
21021712070,273,114,155,4.23,7.5,22.97,121.2,42.0,2021-02-17 12:07:37.729999
20122600280,228,97,188,4.23,34.92,22.64,120.41,41.0,2020-12-26 00:28:46.539999
21071400100,221,89,134,4.23,5.77,23.95,121.61,51.0,2021-07-14 00:11:57.649999
20021320240,297,126,239,4.22,32.71,23.65,121.63,117.0,2020-02-13 20:25:06.910000
20062113190,250,111,188,4.21,2.76,23.04,120.83,23.0,2020-06-21 13:19:12.550000
21012808040,232,95,154,4.21,9.01,22.54,120.97,61.0,2021-01-28 08:05:04.339999
21121206160,226,94,163,4.21,40.08,24.19,122.14,52.0,2021-12-12 06:16:13.970000
20100319460,378,200,301,4.2,27.24,24.21,120.83,19.0,2020-10-03 19:46:24.420000
21061108550,225,96,124,4.2,10.65,23.87,121.56,93.0,2021-06-11 08:55:20.010000
20042213030,258,107,171,4.19,3.34,23.11,120.91,37.0,2020-04-22 13:03:53.329999
20102303520,226,97,178,4.19,36.22,22.71,121.34,65.0,2020-10-23 03:52:16.190000
21102303240,237,97,159,4.19,4.61,24.1,121.81,49.0,2021-10-23 03:24:58.070000
20072521330,342,178,282,4.18,25.61,24.02,120.75,19.0,2020-07-25 21:33:58.939999
20022512260,336,150,254,4.18,5.27,24.38,121.41,36.0,2020-02-25 12:27:03.160000
20092310200,279,119,231,4.18,33.41,23.21,121.53,107.0,2020-09-23 10:20:24.429999
21042720270,276,118,177,4.18,1.01,23.16,120.92,26.0,2021-04-27 20:27:47.399999
21012408320,259,110,197,4.18,31.77,22.76,120.41,38.0,2021-01-24 08:33:26.789999
21072915210,258,110,204,4.18,19.4,23.92,121.45,25.0,2021-07-29 15:21:17.769999
21051817540,252,108,163,4.18,33.82,22.59,121.36,54.0,2021-05-18 17:54:39.880000
20062316250,244,100,191,4.18,6.51,24.09,121.83,77.0,2020-06-23 16:25:19.309999
21080705430,226,95,165,4.18,6.57,24.76,122.27,159.0,2021-08-07 05:43:58.810000
21010809030,213,87,116,4.18,12.84,21.99,121.52,188.0,2021-01-08 09:04:16.039999
21050613470,198,83,153,4.18,35.57,22.16,121.32,130.0,2021-05-06 13:48:01.720000
21120716440,259,109,209,4.16,32.74,23.38,121.44,37.0,2021-12-07 16:45:48.670000
20021307440,225,106,179,4.16,32.84,22.67,120.68,36.0,2020-02-13 07:44:06.469999
20082813030,244,106,144,4.16,19.86,22.44,120.96,61.0,2020-08-28 13:03:32.329999
